Date,Time,CPU_Usage,RAM_Usage,Disk_Usage
2026-09-12,02:29:55,4.8,25.02,45
2026-09-12,02:30:06,4.8,25.03,45
2026-09-12,02:30:08,9.1,25.03,45
2026-09-12,02:30:09,9.5,25.03,45
2026-09-12,02:30:10,5.3,25.03,45
2026-09-12,02:30:11,9.5,25.03,45
2026-09-12,02:47:41,100,25.41,45
2026-09-12,02:52:17,5.3,24.51,45
2026-09-12,02:52:52,13.6,24.54,45
2026-09-12,02:53:01,5.3,24.55,45
2026-09-12,02:53:03,100,24.57,45
2026-09-12,02:54:51,5,24.55,45
2026-09-12,02:58:37,4.8,25.82,45
2026-09-12,02:58:42,3.8,25.82,45
2026-09-12,02:58:43,100,25.83,45
